Predicted effector gene(s)	p_value	minusLogP
CACNA1S	4.09E-08	7.388276692
EIF4G3	2.17E-11	10.66354027
HP1BP3	2.17E-11	10.66354027
LAMPTM5	5.48E-10	9.261219442
PLEKHO1	2.09E-08	7.679853714
GBA1	1.83E-09	8.73754891
ADAMTS4	3.07E-08	7.512861625
KIF21B	4.09E-08	7.388276692
CR1	1.21E-57	56.91721463
QPCT	3.98E-16	15.40011693
SPRED2	2.75E-09	8.560667306
NCK2	8.19E-17	16.0867161
BIN1	1.85E-108	107.7328283
TMEM163	1.20E-08	7.920818754
WDR12	7.67E-13	12.11520464
ICA1L	7.67E-13	12.11520464
INPP5D	5.10E-19	18.29242982
ERC2	3.50E-08	7.455931956
NCK1	1.11E-08	7.954677021
MBNL1	1.09E-08	7.962573502
MME	1.41E-10	9.850780887
VWA5B2	2.10E-08	7.677780705
MAP3K13	2.21E-08	7.655607726
UBXN7	4.45E-09	8.351639989
PCYT1A	4.45E-09	8.351639989
RNF168	4.45E-09	8.351639989
FGFRL1	2.09E-09	8.679853714
IDUA	2.09E-09	8.679853714
CLNK	1.20E-18	17.92081875
RHOH	4.45E-09	8.351639989
RAPGEF2	3.45E-09	8.462180905
FAM105B	1.22E-09	8.913640169
AC008394.1	5.51E-12	11.2588484
RASA1	5.51E-12	11.2588484
CEP120	1.23E-10	9.910094889
SNX2	1.23E-10	9.910094889
HBEGF	2.30E-09	8.638272164
TNIP1	5.86E-18	17.23210238
HAVCR2	2.08E-09	8.681936665
DOK3	1.85E-08	7.732828272
RASGEF1C	7.29E-14	13.13727247
OR2B2	1.18E-09	8.928117993
NKAPL	1.18E-09	8.928117993
HLA	6.48E-29	28.18842499
TREM2	2.23E-24	23.65169514
RUNX2	4.06E-08	7.391473966
CD2AP	1.06E-29	28.97469413
FAM135A	1.59E-08	7.798602876
C6orf57	1.59E-08	7.798602876
RGS17	1.15E-08	7.93930216
MAFK	3.08E-08	7.511449283
PMS2	4.21E-09	8.375717904
EIF2AK1	4.21E-09	8.375717904
UMAD1	2.55E-08	7.59345982
ICA1	2.55E-08	7.59345982
TMEM106B	4.78E-23	22.3205721
HDAC9	8.39E-11	10.07623804
JAZF1	3.81E-11	10.41907502
ELMO1	2.27E-12	11.64397414
GPR141	2.27E-12	11.64397414
EGFR	4.57E-11	10.3400838
ZCWPW1	9.57E-38	37.01908806
NYAP1	9.57E-38	37.01908806
PILRA	9.57E-38	37.01908806
SPDYE3	9.57E-38	37.01908806
DOCK4	3.48E-08	7.458420756
EPHA1	4.20E-14	13.37675071
CTSB	1.38E-09	8.860120914
CLU	7.60E-48	47.11918641
TP53INP1	1.66E-10	9.779891912
RRM2B	2.48E-08	7.605548319
ODF1	2.48E-08	7.605548319
TRIB1	5.71E-12	11.24336389
SLA	5.23E-09	8.281498311
SHARPIN	3.52E-23	22.45345734
IFNE	1.18E-08	7.928117993
IFNA8	1.18E-08	7.928117993
GNAQ	2.31E-08	7.63638802
SYK	2.41E-09	8.617982957
FGD3	4.55E-08	7.341988603
IPPK	4.55E-08	7.341988603
ZNF484	4.55E-08	7.341988603
ABCA1	1.16E-09	8.935542011
USP6NL	8.93E-28	27.04914854
CCDC6	5.50E-16	15.25963731
SLC16A9	5.50E-16	15.25963731
TSPAN14	1.12E-13	12.95078198
BLNK	1.54E-15	14.81247928
GPAM	4.54E-08	7.342944147
PLEKHA1	1.01E-12	11.99567863
SPI1	7.85E-22	21.10513034
MS4A3	2.70E-73	72.56863624
MS4A4E	2.70E-73	72.56863624
MS4A6E	2.70E-73	72.56863624
MS4A7	2.70E-73	72.56863624
MS4A14	2.70E-73	72.56863624
MS4A5	2.70E-73	72.56863624
MS4A1	2.70E-73	72.56863624
MS4A12	2.70E-73	72.56863624
MS4A13	2.70E-73	72.56863624
MS4A8	2.70E-73	72.56863624
MS4A18	2.70E-73	72.56863624
MS4A15	2.70E-73	72.56863624
MS4A10	2.70E-73	72.56863624
CFL1	1.60E-10	9.795880017
EFEMP2	1.60E-10	9.795880017
FIBP	1.60E-10	9.795880017
RNASEH2C	1.60E-10	9.795880017
BANF1	1.60E-10	9.795880017
EIF1AD	1.60E-10	9.795880017
PICALM	7.90E-66	65.10237291
SORL1	1.20E-26	25.92081875
NINJ2	2.12E-08	7.673664139
GLS2	2.44E-10	9.612610174
IL23A	2.44E-10	9.612610174
ANKRD52	2.44E-10	9.612610174
TPCN1	1.23E-12	11.91009489
HIP1R	1.76E-08	7.754487332
VPS37B	1.76E-08	7.754487332
DENR	1.76E-08	7.754487332
SBNO1	1.76E-08	7.754487332
ATP6V0A2	2.39E-09	8.621602099
TCTN2	2.39E-09	8.621602099
GTF2H3	2.39E-09	8.621602099
DDX55	2.39E-09	8.621602099
ZNF664	2.39E-09	8.621602099
MPHOSPH9	2.39E-09	8.621602099
MCF2L	4.89E-08	7.310691141
FERMT2	6.79E-22	21.16813023
SLC24A4	3.03E-25	24.51855737
KIAA0125	6.28E-09	8.202040356
RASGRP1	1.22E-09	8.913640169
PLCB2	4.48E-08	7.348721986
ADAM10	3.87E-23	22.41228903
APH1B	1.45E-25	24.838632
SNX1	4.47E-16	15.34969248
GLCE	3.56E-08	7.448550002
CTSH	2.11E-09	8.675717545
MCTP2	3.92E-08	7.406713933
IQCK	1.82E-08	7.739928612
GGA2	1.06E-09	8.974694135
DOC2A	2.76E-11	10.55909092
KAT8	3.47E-12	11.45967053
VKORC1	3.47E-12	11.45967053
BCKDK	3.47E-12	11.45967053
IL34	1.62E-08	7.790484985
PMFBP1	1.15E-08	7.93930216
MAF	3.15E-09	8.501689446
PLCG2	9.51E-15	14.02181948
C16orf95	7.02E-12	11.15366289
PRDM7	2.00E-14	13.69897
FAM157C	2.00E-14	13.69897
WDR81	2.14E-09	8.669586227
MNT	2.92E-08	7.534617149
SGSM2	2.92E-08	7.534617149
DPH1	2.92E-08	7.534617149
RAP1GAP2	2.92E-08	7.534617149
MINK1	1.01E-08	7.995678626
CHRNE	1.01E-08	7.995678626
SCIMP	1.01E-08	7.99567863
RABEP1	1.01E-08	7.99567863
MYO15A	1.42E-08	7.847711656
GRN	7.16E-27	26.14508698
ITGA2B	7.16E-27	26.14508698
MAPT	4.82E-25	24.31695296
ABI3	1.13E-10	9.946921557
BZRAP1-AS1	1.64E-14	13.78515615
MIR142	1.64E-14	13.78515615
TSPOAP1-AS1	1.64E-14	13.78515615
TSPOAP1	1.64E-14	13.78515615
ACE	9.43E-20	19.02548831
ABCA7	5.90E-32	31.22914799
AC104532.2	2.95E-08	7.530177984
VMAC	2.95E-08	7.530177984
DNM2	1.55E-08	7.809668302
KEAP1	1.55E-08	7.809668302
LRRC25	1.11E-10	9.954677021
SSBP4	1.11E-10	9.954677021
